Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,1000,638,568,966,1136,1341,215,2597,0.000%,12.07482,2.13,5.49
Add Review of Product,1000,170,115,375,439,542,12,1268,0.000%,12.11020,2.06,5.47
TOTAL,2000,404,381,854,968,1320,12,2597,0.000%,24.14555,4.18,10.94
