Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,1000,233,212,330,395,649,85,1187,0.000%,30.64571,11.33,10.23
Add Product Review,1000,79,57,131,232,666,3,823,0.000%,30.73046,14.03,10.19
TOTAL,2000,156,134,286,358,666,3,1187,0.000%,61.28014,25.32,20.39
