Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Page,10000,172,131,207,301,1059,1,1274,0.000%,541.94667,2564.19,85.21
TOTAL,10000,172,131,207,301,1059,1,1274,0.000%,541.94667,2564.19,85.21
