Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,1000,244,240,330,362,476,88,1350,0.000%,21.39220,7.93,7.16
Remove Product From Basket,1000,213,84,410,1174,2578,3,2980,0.000%,21.41878,9.80,7.21
TOTAL,2000,229,173,338,486,1903,3,2980,0.000%,42.74418,17.70,14.35
