Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,5018,4250,7743,11269,17847,213,32528,0.000%,8.37191,1.47,3.79
Add Review of Product,10000,6791,6072,9492,13338,28747,18,52135,0.000%,8.37931,1.42,3.77
TOTAL,20000,5905,5030,9008,11771,25853,18,52135,0.000%,16.74356,2.90,7.56
