Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,2432,2398,3016,3235,3640,641,4145,0.000%,26.02574,9.64,8.74
Add Product Review,10000,1395,1374,1865,2021,2346,17,3215,0.000%,26.07521,11.93,8.69
TOTAL,20000,1914,1882,2793,3016,3493,17,4145,0.000%,52.04918,21.54,17.42
