Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Register,10000,2120,2175,3076,3424,3942,79,4918,0.000%,46.37746,21.56,13.21
TOTAL,10000,2120,2175,3076,3424,3942,79,4918,0.000%,46.37746,21.56,13.21
