Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Register,10000,6424,6146,9209,10065,12126,236,29363,0.000%,15.30608,2.60,4.10
TOTAL,10000,6424,6146,9209,10065,12126,236,29363,0.000%,15.30608,2.60,4.10
