Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,100,88,88,92,93,99,85,107,0.000%,10.00801,3.72,3.36
Add Product to Basket,100,11,10,13,15,32,7,89,0.000%,10.08675,4.63,3.38
TOTAL,200,49,85,90,92,97,7,107,0.000%,19.95809,8.29,6.69
