Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Register,1000,586,574,844,917,1119,213,1820,0.000%,16.65640,2.83,4.41
TOTAL,1000,586,574,844,917,1119,213,1820,0.000%,16.65640,2.83,4.41
