Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Register,1000,253,234,282,309,918,85,2611,0.000%,34.57456,7.23,8.55
TOTAL,1000,253,234,282,309,918,85,2611,0.000%,34.57456,7.23,8.55
