Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Page Catagory,1000,3,3,5,5,7,1,13,0.000%,843.88186,7806.73,149.16
TOTAL,1000,3,3,5,5,7,1,13,0.000%,843.88186,7806.73,149.16
