Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Page,10000,750,738,938,1028,1250,15,1926,0.000%,130.25752,104.84,20.73
TOTAL,10000,750,738,938,1028,1250,15,1926,0.000%,130.25752,104.84,20.73
