Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Reviews,100,21,17,34,37,46,14,47,0.000%,46.23209,25709.28,7.72
TOTAL,100,21,17,34,37,46,14,47,0.000%,46.23209,25709.28,7.72
