Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,5221,4513,7833,11845,18534,358,39488,0.000%,7.40585,1.30,3.36
Remove Product From Basket,10000,8176,6571,14218,20917,36590,29,65234,4.000%,7.41307,2.26,3.32
TOTAL,20000,6698,5387,11228,15839,29435,29,65234,2.000%,14.81133,3.56,6.68
