Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,100,225,226,232,233,242,215,244,0.000%,4.31276,0.76,1.97
Get User Reviews,100,6,6,7,8,9,4,12,0.000%,4.35711,1.23,1.51
TOTAL,200,115,12,229,232,233,4,244,0.000%,8.62292,1.97,3.47
