Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,100,93,90,106,111,133,81,155,0.000%,10.25010,3.79,3.41
Get User Review,100,3,2,5,10,24,1,37,0.000%,10.36699,4.74,2.34
TOTAL,200,48,37,98,106,122,1,155,0.000%,20.49600,8.48,5.72
