Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Register,100,99,94,123,133,180,77,369,0.000%,10.02205,4.66,2.82
TOTAL,100,99,94,123,133,180,77,369,0.000%,10.02205,4.66,2.82
