Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Register,100,88,88,91,95,102,83,140,0.000%,11.23091,2.35,2.77
TOTAL,100,88,88,91,95,102,83,140,0.000%,11.23091,2.35,2.77
