Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,3124,3035,4033,4366,4848,146,6372,0.000%,31.71170,11.76,7.46
TOTAL,10000,3124,3035,4033,4366,4848,146,6372,0.000%,31.71170,11.76,7.46
