Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Page - php,1000,34,15,53,87,533,2,914,0.000%,188.32392,216.56,33.47
TOTAL,1000,34,15,53,87,533,2,914,0.000%,188.32392,216.56,33.47
