Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,2101,2098,2831,2995,3277,244,3542,0.000%,29.41851,10.91,9.82
Get User Review,10000,1285,1270,1985,2126,2487,2,3138,0.000%,29.47314,13.50,6.68
TOTAL,20000,1693,1696,2649,2840,3181,2,3542,0.000%,58.83651,24.39,16.48
