Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,5306,4765,9492,12013,13803,279,19519,0.000%,11.67135,2.05,5.29
Get User Reviews,10000,3197,2930,5002,6067,11213,6,18906,0.000%,11.68577,3.27,4.00
TOTAL,20000,4252,3798,6764,10385,13260,6,19519,0.000%,23.34251,5.32,9.28
