Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,1531,1449,2453,2722,3680,1,9466,0.250%,46.06724,17.50,13.80
Get User Reviews,10000,576,430,1310,1558,2183,1,3641,0.410%,46.08932,29.47,9.01
TOTAL,20000,1053,952,2092,2473,3115,1,9466,0.330%,92.13151,46.95,22.81
