Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,100,90,89,99,107,113,83,117,0.000%,10.11531,3.74,3.38
Get Orders,100,7,6,11,13,15,4,64,0.000%,10.21033,6.78,2.25
TOTAL,200,49,64,93,99,111,4,117,0.000%,20.20610,10.45,5.60
