Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Proudct Page Category - php,10000,153,99,358,573,782,2,1761,0.000%,563.92037,648.46,110.69
TOTAL,10000,153,99,358,573,782,2,1761,0.000%,563.92037,648.46,110.69
