Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Proudct Page Category - php,10000,106,46,268,344,785,2,2179,0.000%,774.95350,7184.31,152.87
TOTAL,10000,106,46,268,344,785,2,2179,0.000%,774.95350,7184.31,152.87
