Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Reviews,1000,222,198,410,458,602,15,780,0.000%,42.73322,23763.59,7.14
TOTAL,1000,222,198,410,458,602,15,780,0.000%,42.73322,23763.59,7.14
