Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,1000,197,181,285,316,398,76,470,0.000%,48.31151,20.14,12.41
TOTAL,1000,197,181,285,316,398,76,470,0.000%,48.31151,20.14,12.41
