Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product By ProductID,1000,28,27,45,52,73,4,106,0.000%,273.52298,30.72,37.40
TOTAL,1000,28,27,45,52,73,4,106,0.000%,273.52298,30.72,37.40
