Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product By Product ID  - php,1000,2,2,4,11,13,1,31,0.000%,834.72454,279.53,143.47
TOTAL,1000,2,2,4,11,13,1,31,0.000%,834.72454,279.53,143.47
