Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product by Product ID,1000,9,9,15,19,34,1,59,0.000%,552.79160,161.46,72.93
TOTAL,1000,9,9,15,19,34,1,59,0.000%,552.79160,161.46,72.93
