Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,100,207,205,213,215,239,201,292,0.000%,4.81881,2.34,1.16
TOTAL,100,207,205,213,215,239,201,292,0.000%,4.81881,2.34,1.16
