Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Page Catagory,1000,57,51,90,115,190,4,269,0.000%,144.13376,24.63,25.76
TOTAL,1000,57,51,90,115,190,4,269,0.000%,144.13376,24.63,25.76
