Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Reviews,10000,440,422,789,1068,1561,2,2390,0.000%,211.18432,1127.35,35.46
TOTAL,10000,440,422,789,1068,1561,2,2390,0.000%,211.18432,1127.35,35.46
