Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Reviews,10000,138,131,178,196,228,11,283,0.000%,674.94600,6135.81,94.20
TOTAL,10000,138,131,178,196,228,11,283,0.000%,674.94600,6135.81,94.20
