Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Reviews,10000,810,794,1066,1185,1469,24,2920,0.000%,120.94238,1349.11,16.88
TOTAL,10000,810,794,1066,1185,1469,24,2920,0.000%,120.94238,1349.11,16.88
