Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,5000,4039,8211,11864,20750,238,32670,0.000%,10.15312,1.79,4.61
Add Product To Basket,10000,4721,3664,7230,13812,29479,10,54099,0.360%,10.15569,1.73,4.54
TOTAL,20000,4860,3890,7832,12523,25692,10,54099,0.180%,20.30583,3.51,9.15
