Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,649,586,828,1057,2208,95,3191,0.000%,27.68128,10.26,9.31
Add Product to Basket,10000,2953,2920,3168,3311,6120,5,10271,0.000%,27.69178,12.67,9.26
TOTAL,20000,1801,1874,3070,3168,3751,5,10271,0.000%,55.34157,22.92,18.56
