Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,1218,1134,1866,2083,2698,2,4218,0.200%,43.93229,16.71,13.29
Add Product to Basket,10000,1018,929,1682,1912,2396,2,4332,0.130%,43.96358,16.62,13.46
TOTAL,20000,1118,1047,1784,2019,2518,2,4332,0.165%,87.86111,33.32,26.74
