Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,1499,1429,2355,2716,3542,3,10410,0.080%,45.44339,17.17,13.64
Get User Basket,10000,622,433,1346,1627,2833,2,10942,0.080%,45.48804,38.49,9.05
TOTAL,20000,1061,937,2063,2396,3340,2,10942,0.080%,90.88348,55.63,22.68
