Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,3595,3408,4688,5254,11572,323,21275,0.000%,13.35099,2.35,6.01
Get User Basket,10000,3833,3819,5143,5506,8089,10,27092,0.000%,13.37072,11.63,4.50
TOTAL,20000,3714,3606,4971,5443,9586,10,27092,0.000%,26.70152,13.96,10.50
