Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,2482,2445,2856,3038,4012,207,5375,0.000%,23.50629,8.72,7.85
Get User Basket,10000,1755,1713,2081,2237,3041,6,4103,0.000%,23.51829,19.18,5.37
TOTAL,20000,2118,2105,2719,2881,3604,6,5375,0.000%,47.01192,27.89,13.22
