Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,2729,2516,3682,4262,9040,255,15854,0.000%,7.55478,1.33,3.42
Order BAsket,10000,10386,10314,13564,14839,17592,74,23379,0.000%,7.56116,1.28,3.21
TOTAL,20000,6557,5225,12416,13650,16494,74,23379,0.000%,15.10871,2.61,6.63
