Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,1132,1123,1798,1987,2437,3,3970,0.040%,43.60757,16.59,13.21
Order Basket,10000,1118,1030,1898,2106,2623,3,4381,0.030%,43.65554,16.42,11.98
TOTAL,20000,1125,1084,1842,2059,2537,3,4381,0.035%,87.20411,32.99,25.17
