Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,10000,811,708,1187,1586,2711,95,3670,0.000%,19.41563,7.20,6.53
Order Basket,10000,4325,4008,5438,6637,10164,47,14142,0.000%,19.42177,10.69,5.99
TOTAL,20000,2568,2462,4584,5438,8491,47,14142,0.000%,38.82749,17.89,12.52
