Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Page Catagory,100,1,1,2,3,5,1,8,0.000%,257.73196,289.95,45.30
TOTAL,100,1,1,2,3,5,1,8,0.000%,257.73196,289.95,45.30
