Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product Page Catagory,100,9,5,12,16,65,3,222,0.000%,62.22775,10.63,11.12
TOTAL,100,9,5,12,16,65,3,222,0.000%,62.22775,10.63,11.12
