Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,100,89,92,102,106,113,73,118,0.000%,9.22679,3.33,2.78
Remove Product from Basket,100,18,16,27,27,39,4,44,0.000%,9.28247,3.34,2.78
TOTAL,200,54,44,97,102,110,4,118,0.000%,18.42808,6.64,5.54
