Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product by Product ID,100,3,2,5,5,9,1,123,0.000%,235.84906,68.64,31.09
TOTAL,100,3,2,5,5,9,1,123,0.000%,235.84906,68.64,31.09
