Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Product By ProductID,100,5,5,6,7,26,3,40,0.000%,173.31023,19.46,23.69
TOTAL,100,5,5,6,7,26,3,40,0.000%,173.31023,19.46,23.69
